#id,pdbid,true,score
233, 1usk ,6.4,4.693789499999999
234, 1w3k ,4.3,6.327536599999999
235, 1yxd ,4.57,4.90506
237, 2a3c ,4.37,5.2936697
247, 2fv5 ,10.52,8.244254
249, 2h21 ,6.54,6.5739117
251, 2hd6 ,7.8,6.7393084000000005
257, 2buv ,4.0,5.519103
26, 1fh8 ,6.89,6.486796400000001
260, 1xl5 ,7.35,8.800119
261, 1y93 ,2.1,4.833316
262, 4ubp ,5.59,4.122675
266, 1lhw ,8.16,6.1453857
269, 1q0y ,9.0,6.517864
27, 1fh9 ,6.43,6.1778507000000005
270, 1s50 ,5.85,4.8978852999999996
271, 1s7y ,5.85,5.174476599999999
272, 1s9t ,6.6,5.175516
273, 1tt1 ,7.19,5.981943
274, 1txf ,7.24,5.589176999999999
276, 1uld ,5.35,4.707231
277, 1uzv ,5.18,4.242259
278, 1zhx ,7.26,7.349489
28, 1fhd ,6.82,7.252733
281, 2dm5 ,2.99,5.0469403
283, 1q6e ,2.62,4.8070900000000005
284, 1q6g ,2.06,4.8400115999999995
286, 1xw6 ,5.62,5.3781633
287, 1ax2 ,3.99,4.706436
29, 1g2k ,7.96,8.318118
290, 2hj4 ,5.37,5.735819
291, 2qrk ,4.26,4.578579
292, 2nn1 ,5.82,5.8591766
293, 2pou ,7.42,7.508663
294, 1z3t ,3.94,5.890585
296, 3cd0 ,7.57,7.394650500000001
297, 3cda ,7.58,7.377062
3, 1a99 ,5.7,4.421425
34, 1gj8 ,6.96,7.3977594
35, 1gjd ,5.22,7.710827
36, 1gpk ,5.37,6.476797
39, 1gyy ,3.64,4.744754
4, 1ax0 ,3.13,5.298179599999999
40, 1gz9 ,3.51,5.0931406
41, 1gzc ,3.49,4.886588
42, 1h22 ,9.1,6.999571
43, 1h23 ,8.35,6.9412613
44, 1h46 ,3.57,6.965763000000001
45, 1ha2 ,5.54,7.144914599999999
47, 1hnn ,6.24,6.7259283
48, 1i7z ,6.4,7.960343400000001
49, 1iy7 ,6.19,5.4402056
5, 1b6j ,7.92,7.319895
53, 1jgl ,8.7,7.2069235
56, 1kzk ,10.39,8.254163
6, 1b6l ,8.3,7.74436
62, 1lnm ,8.7,8.157266
63, 1lrh ,6.82,7.323421499999999
67, 1nc1 ,6.12,6.628792
68, 1nc3 ,5.0,5.8169260000000005
7, 1b6m ,8.4,7.9017296
71, 1nli ,3.59,5.0912489999999995
74, 1nw5 ,5.21,5.2324166
77, 1ow4 ,5.68,7.266855199999999
78, 1p1n ,6.8,6.040266
79, 1p1o ,5.76,5.1413736
81, 1ps3 ,2.28,7.9447603
82, 1pxp ,6.66,7.2977724
87, 1r5y ,6.46,5.452319999999999
88, 1s38 ,5.15,6.0498114
89, 1s39 ,7.7,5.4841785000000005
91, 1sr7 ,10.1,7.8276520000000005
92, 1sw1 ,7.3,5.2182455
95, 1syh ,6.41,6.2311363
96, 1syi ,5.48,6.193869599999999
97, 1toj ,3.39,6.7721862999999995
98, 1tok ,2.47,5.269271
99, 1u1w ,5.85,5.0223827000000005
