ligand	affinity
3gnw_ligand	8.5702
3gr2_ligand	2.9416
3gv9_ligand	3.6620
3gy4_ligand	3.2276
3ivg_ligand	7.0610
3jvr_ligand	5.2731
3jvs_ligand	6.3690
3jya_ligand	6.1994
3k5v_ligand	6.9227
3kgp_ligand	2.6612
3kr8_ligand	8.4228
3kwa_ligand	6.4443
3l7b_ligand	5.4602
3lka_ligand	4.6834
3mss_ligand	5.4705
3myg_ligand	7.6701
3n76_ligand	7.4605
3n7a_ligand	4.3716
3n86_ligand	5.8436
3nq9_ligand	5.4747
3nw9_ligand	8.0052
3nx7_ligand	8.2574
3o9i_ligand	11.7823
3oe4_ligand	7.9883
3oe5_ligand	7.1284
3ozs_ligand	6.7624
3ozt_ligand	5.1702
3p5o_ligand	6.5388
3prs_ligand	9.3101
3pww_ligand	7.3389
3pxf_ligand	4.2116
3pyy_ligand	5.6152
3qgy_ligand	7.6608
3qqs_ligand	4.0128
3r88_ligand	3.7281
3rlr_ligand	7.3883
3rr4_ligand	6.3535
3rsx_ligand	5.4349
3ryj_ligand	7.8941
3syr_ligand	4.5193
3tsk_ligand	8.9098
3twp_ligand	2.9886
3u5j_ligand	5.2639
3u8k_ligand	6.9377
3u8n_ligand	7.4578
3u9q_ligand	5.0913
3udh_ligand	4.9093
3ueu_ligand	5.2089
3uev_ligand	6.0986
3uew_ligand	6.6158
3uex_ligand	6.3344
3ui7_ligand	7.7237
3uo4_ligand	7.1437
3up2_ligand	6.6655
3uri_ligand	6.5702
3utu_ligand	7.5189
3uuo_ligand	6.7131
3wtj_ligand	7.4028
3wz8_ligand	6.6921
3zdg_ligand	6.4785
3zso_ligand	6.9305
3zsx_ligand	3.9383
3zt2_ligand	1.9475
4abg_ligand	3.7887
4agn_ligand	4.8597
4agp_ligand	5.2551
4agq_ligand	5.0154
4bkt_ligand	4.9489
4cig_ligand	5.2775
4ciw_ligand	4.4089
4cr9_ligand	3.9573
4cra_ligand	6.4283
4crc_ligand	8.6151
4ddh_ligand	3.5014
4ddk_ligand	3.4907
4de1_ligand	4.6209
4de2_ligand	4.7741
4de3_ligand	4.3984
4djv_ligand	6.6217
4dld_ligand	5.3372
4dli_ligand	5.9323
4e5w_ligand	7.1672
4e6q_ligand	7.3850
4ea2_ligand	7.2875
4eky_ligand	7.0193
4eo8_ligand	8.1586
4eor_ligand	7.7619
4f09_ligand	6.9834
4f2w_ligand	8.6936
4f3c_ligand	9.4155
4f9w_ligand	5.9386
4gfm_ligand	5.7315
4gid_ligand	8.6753
4gkm_ligand	4.8492
4gr0_ligand	8.9245
4hge_ligand	6.9863
4ih5_ligand	5.2422
4ih7_ligand	4.4777
4ivb_ligand	8.5975
4ivc_ligand	8.9034
4ivd_ligand	8.4861
4j21_ligand	6.6284
4j28_ligand	6.6330
4j3l_ligand	7.2402
4jfs_ligand	6.9244
4jia_ligand	7.4282
4jsz_ligand	3.6717
4jxs_ligand	5.9407
4k18_ligand	8.0143
4k77_ligand	6.9783
4kz6_ligand	3.1707
4kzq_ligand	7.4466
4kzu_ligand	7.6670
4llx_ligand	4.2177
4lzs_ligand	4.5063
4m0y_ligand	6.2328
4m0z_ligand	6.2455
4mgd_ligand	5.3909
4mme_ligand	6.4514
4ogj_ligand	7.3191
4owm_ligand	2.9115
4pcs_ligand	7.7188
4qac_ligand	7.7166
4qd6_ligand	5.5741
4rfm_ligand	8.5038
4tmn_ligand	6.4739
4twp_ligand	8.0120
4ty7_ligand	8.2694
4u4s_ligand	4.9131
4w9c_ligand	5.8368
4w9h_ligand	6.6479
4w9i_ligand	6.7677
4w9l_ligand	6.7645
4wiv_ligand	6.9044
4x6p_ligand	8.3811
5a7b_ligand	5.5669
5aba_ligand	4.1278
5c28_ligand	5.1121
5c2h_ligand	8.3963
5dwr_ligand	9.2049
5tmn_ligand	6.9775
